
Seq;Bmag;Vmag;Imag;Jmag;Ksmag;3.6mag;4.5mag;5.8mag;8.0mag;zsp;Class;r_Class;zbest;S/G;pos;st;Gal;RAJ2000;DEJ2000
 ;mag;mag;mag;mag;mag;mag;mag;mag;mag; ; ; ; ; ; ; ; ;deg;deg
-----;------;------;------;------;------;------;------;------;------;------;---------;--------;------;----;-;-;-;----------;----------
    1;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;UNKNOWN  ;UNKNOWN ;      ;0.97;0;0;0;053.147888;-27.943951
    2;27.229;24.971;23.466;      ;      ;20.590;20.708;20.856;20.961; 0.776;GALAXY   ;VVDS    ;      ;0.02;0;0;0;053.086289;-27.945091
    3;      ;      ;      ;      ;      ;      ;      ;      ;      ; 1.370;EMISSION ;GOODS   ;      ;0.03;0;0;0;053.120064;-27.945618
    4;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;UNKNOWN  ;UNKNOWN ;      ;0.98;0;0;0;053.135841;-27.945583
    5;      ;      ;      ;      ;      ;      ;      ;      ;      ; 0.804;GALAXY   ;VVDS    ;      ;0.01;0;0;0;053.123756;-27.945667
    6;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;UNKNOWN  ;UNKNOWN ;      ;0.95;0;0;0;053.222923;-27.945658
    7;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;UNKNOWN  ;UNKNOWN ;      ;0.17;0;0;0;053.084827;-27.945704
    8;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;UNKNOWN  ;UNKNOWN ;      ;0.24;0;0;0;053.142502;-27.945722
    9;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;UNKNOWN  ;UNKNOWN ;      ;0.02;0;0;0;053.084320;-27.945717
   10;      ;      ;      ;      ;      ;      ;      ;      ;      ; 0.806;EMISSION ;GOODS   ;      ;0.09;0;0;0;053.099018;-27.945721
   11;      ;      ;      ;      ;      ;      ;      ;      ;      ; 1.225;EMISSION ;GOODS   ;      ;0.20;0;0;0;053.139355;-27.945724
   12;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;UNKNOWN  ;UNKNOWN ;      ;0.95;0;0;0;053.123932;-27.945564
   13;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;UNKNOWN  ;UNKNOWN ;      ;0.92;0;0;0;053.101879;-27.945568
   14;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;UNKNOWN  ;UNKNOWN ;      ;0.01;0;0;0;053.103531;-27.945501
   15;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;UNKNOWN  ;UNKNOWN ;      ;0.78;0;0;0;053.084545;-27.945557
   16;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;UNKNOWN  ;UNKNOWN ;      ;0.02;0;0;0;053.106026;-27.945389
   17;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;UNKNOWN  ;UNKNOWN ;      ;0.51;0;0;0;053.135677;-27.945511
