
Seq;zsp;Class;r_Class;zphot;zbest;Zlim;S/G;pos;st;Gal;RAJ2000;DEJ2000
 ; ; ; ; ; ;mag; ; ; ; ;deg;deg
-----;------;---------;--------;---------;------;------;----;-;-;-;----------;----------
    1;      ;UNKNOWN  ;UNKNOWN ;         ;      ;      ;0.97;0;0;0;053.147888;-27.943951
    2; 0.776;GALAXY   ;VVDS    ;         ;      ;28.019;0.02;0;0;0;053.086289;-27.945091
    3; 1.370;EMISSION ;GOODS   ;         ;      ;      ;0.03;0;0;0;053.120064;-27.945618
    4;      ;UNKNOWN  ;UNKNOWN ;         ;      ;      ;0.98;0;0;0;053.135841;-27.945583
    5; 0.804;GALAXY   ;VVDS    ;         ;      ;      ;0.01;0;0;0;053.123756;-27.945667
    6;      ;UNKNOWN  ;UNKNOWN ;         ;      ;      ;0.95;0;0;0;053.222923;-27.945658
    7;      ;UNKNOWN  ;UNKNOWN ;         ;      ;      ;0.17;0;0;0;053.084827;-27.945704
    8;      ;UNKNOWN  ;UNKNOWN ;         ;      ;      ;0.24;0;0;0;053.142502;-27.945722
    9;      ;UNKNOWN  ;UNKNOWN ;         ;      ;      ;0.02;0;0;0;053.084320;-27.945717
   10; 0.806;EMISSION ;GOODS   ;         ;      ;      ;0.09;0;0;0;053.099018;-27.945721
   11; 1.225;EMISSION ;GOODS   ;         ;      ;      ;0.20;0;0;0;053.139355;-27.945724
   12;      ;UNKNOWN  ;UNKNOWN ;         ;      ;      ;0.95;0;0;0;053.123932;-27.945564
   13;      ;UNKNOWN  ;UNKNOWN ;         ;      ;      ;0.92;0;0;0;053.101879;-27.945568
   14;      ;UNKNOWN  ;UNKNOWN ;         ;      ;      ;0.01;0;0;0;053.103531;-27.945501
   15;      ;UNKNOWN  ;UNKNOWN ;         ;      ;      ;0.78;0;0;0;053.084545;-27.945557
   16;      ;UNKNOWN  ;UNKNOWN ;         ;      ;      ;0.02;0;0;0;053.106026;-27.945389
   17;      ;UNKNOWN  ;UNKNOWN ;         ;      ;      ;0.51;0;0;0;053.135677;-27.945511
   18;      ;UNKNOWN  ;UNKNOWN ;         ;      ;      ;0.92;0;0;0;053.084095;-27.945400
   19;      ;UNKNOWN  ;UNKNOWN ;         ;      ;      ;0.02;0;0;0;053.111084;-27.945440
   20;      ;UNKNOWN  ;UNKNOWN ;         ;      ;28.024;0.20;0;0;0;053.099686;-27.945337
   21; 0.670;EMISSION ;GOODS   ;         ;      ;28.012;0.03;0;0;0;053.126110;-27.944841
   22; 0.193;GALAXY   ;VVDS    ;         ;      ;      ;0.83;0;0;0;053.141209;-27.944975
   23;      ;UNKNOWN  ;UNKNOWN ;         ;      ;27.994;0.01;0;0;0;053.121071;-27.945013
   24;      ;UNKNOWN  ;UNKNOWN ;         ;      ;28.023;0.01;0;0;0;053.098621;-27.945106
   25;      ;UNKNOWN  ;UNKNOWN ;         ;      ;27.995;0.03;0;0;0;053.121601;-27.944788
   26;      ;UNKNOWN  ;UNKNOWN ;         ;      ;      ;0.93;0;0;0;053.221622;-27.944889
   27;      ;UNKNOWN  ;UNKNOWN ;         ;      ;      ;0.03;0;0;0;053.219139;-27.944119
   28;      ;UNKNOWN  ;UNKNOWN ;         ;      ;      ;0.20;0;0;0;053.147068;-27.944788
   29; 1.083;EMISSION ;GOODS   ;         ;      ;27.997;0.03;0;0;0;053.121982;-27.944550
   30;      ;UNKNOWN  ;UNKNOWN ;         ;      ;      ;0.95;0;0;0;053.220024;-27.944729
   31;      ;UNKNOWN  ;UNKNOWN ;         ;      ;      ;0.81;0;0;0;053.133118;-27.944723
   32;      ;UNKNOWN  ;UNKNOWN ;         ;      ;28.013;0.01;0;0;0;053.131485;-27.944449
   33;      ;UNKNOWN  ;UNKNOWN ;         ;      ;      ;0.98;0;0;0;053.219254;-27.944235
   34;      ;UNKNOWN  ;UNKNOWN ;         ;      ;28.016;0.76;0;0;0;053.119194;-27.944387
   35;      ;UNKNOWN  ;UNKNOWN ;         ;      ;      ;0.78;0;0;0;053.223316;-27.944254
   36;      ;UNKNOWN  ;UNKNOWN ;         ;      ;      ;0.83;0;0;0;053.221863;-27.944242
   37;      ;UNKNOWN  ;UNKNOWN ;         ;      ;      ;0.99;0;0;0;053.133835;-27.943560
   38;      ;UNKNOWN  ;UNKNOWN ;         ;      ;      ;0.94;0;0;0;053.115368;-27.944059
   39;      ;UNKNOWN  ;UNKNOWN ;         ;      ;27.998;0.82;0;0;0;053.121925;-27.944082
   40;      ;UNKNOWN  ;UNKNOWN ;         ;      ;28.017;0.01;0;0;0;053.104641;-27.943943
   41; 2.578;GALAXY   ;VIMOS   ;         ;      ;28.010;0.00;0;0;0;053.124165;-27.943703
   42;      ;UNKNOWN  ;UNKNOWN ;         ;      ;      ;0.88;0;0;0;053.142849;-27.943869
   43;      ;UNKNOWN  ;UNKNOWN ;         ;      ;28.006;0.19;0;0;0;053.117134;-27.943731
   44;      ;UNKNOWN  ;UNKNOWN ;         ;      ;      ;0.94;0;0;0;053.218006;-27.943790
   45;      ;UNKNOWN  ;UNKNOWN ;         ;      ;28.018;0.00;0;0;0;053.114574;-27.943436
   46;      ;UNKNOWN  ;UNKNOWN ;         ;      ;      ;0.94;0;0;0;053.222412;-27.943726
   47;      ;UNKNOWN  ;UNKNOWN ;         ;      ;      ;0.03;0;0;0;053.142105;-27.943306
   48;      ;UNKNOWN  ;UNKNOWN ;         ;      ;      ;0.95;0;0;0;053.153809;-27.943615
   49;      ;UNKNOWN  ;UNKNOWN ;         ;      ;      ;0.03;0;0;0;053.124348;-27.943146
   50;      ;UNKNOWN  ;UNKNOWN ;         ;      ;28.007;0.01;0;0;0;053.130489;-27.943487
   51; 0.968;EMISSION ;GOODS   ;         ;      ;28.016;0.00;0;0;0;053.138016;-27.942970
   52;      ;UNKNOWN  ;UNKNOWN ;         ;      ;      ;0.15;0;0;0;053.132263;-27.943296
   53; 1.829;GALAXY   ;VIMOS   ;         ;      ;28.005;0.00;0;0;0;053.130756;-27.943191
   54;      ;UNKNOWN  ;UNKNOWN ;         ;      ;      ;0.09;0;0;0;053.146667;-27.943354
   55; 0.520;GALAXY   ;VVDS    ;         ;      ;28.022;0.03;0;0;0;053.108742;-27.941776
   56;      ;UNKNOWN  ;UNKNOWN ;         ;      ;28.025;0.61;0;0;0;053.106709;-27.943298
   57;      ;UNKNOWN  ;UNKNOWN ;         ;      ;28.019;0.76;0;0;0;053.103191;-27.943277
   58; 1.327;EMISSION ;GOODS   ;         ;      ;28.025;0.02;0;0;0;053.104812;-27.942852
   59;      ;UNKNOWN  ;UNKNOWN ;         ;      ;28.007;0.01;0;0;0;053.128269;-27.943073
   60;      ;UNKNOWN  ;UNKNOWN ;         ;      ;28.000;0.01;0;0;0;053.122360;-27.943081
   61;      ;UNKNOWN  ;UNKNOWN ;         ;      ;28.023;0.02;0;0;0;053.100132;-27.942972
   62;      ;UNKNOWN  ;UNKNOWN ;         ;      ;28.016;0.08;0;0;0;053.116882;-27.943134
   63;      ;UNKNOWN  ;UNKNOWN ;         ;      ;      ;0.03;0;0;0;053.219826;-27.942648
   64;      ;UNKNOWN  ;UNKNOWN ;         ;      ;28.017;0.02;0;0;0;053.089596;-27.942841
   65;      ;UNKNOWN  ;UNKNOWN ;         ;      ;      ;0.95;0;0;0;053.218109;-27.943090
   66;      ;UNKNOWN  ;UNKNOWN ;         ;      ;28.025;0.90;0;0;0;053.105827;-27.942747
   67; 0.000;STAR     ;astro-ph;         ;      ;      ;0.98;0;0;0;053.124775;-27.942719
   68; 0.000;STAR     ;VVDS    ;         ;      ;      ;0.99;0;0;0;053.219620;-27.942465
   69;      ;UNKNOWN  ;UNKNOWN ;         ;      ;      ;0.77;0;0;0;053.148376;-27.943022
   70;      ;UNKNOWN  ;UNKNOWN ;         ;      ;28.020;0.65;0;0;0;053.108086;-27.943020
   71;      ;UNKNOWN  ;UNKNOWN ;         ;      ;28.019;0.01;0;0;0;053.105454;-27.942892
   72;      ;UNKNOWN  ;UNKNOWN ;         ;      ;      ;0.05;0;0;0;053.129849;-27.942864
   73;      ;UNKNOWN  ;UNKNOWN ;         ;      ;28.024;0.08;0;0;0;053.090103;-27.942921
   74;      ;UNKNOWN  ;UNKNOWN ;         ;      ;      ;0.98;0;0;0;053.223736;-27.942875
   75;      ;UNKNOWN  ;UNKNOWN ;         ;      ;28.020;0.00;0;0;0;053.087974;-27.942816
   76;      ;UNKNOWN  ;UNKNOWN ;         ;      ;28.012;0.79;0;0;0;053.123436;-27.942854
   77;      ;UNKNOWN  ;UNKNOWN ;         ;      ;28.015;0.07;0;0;0;053.135082;-27.942707
   78;      ;UNKNOWN  ;UNKNOWN ;         ;      ;      ;0.95;0;0;0;053.218895;-27.942783
   79;      ;UNKNOWN  ;UNKNOWN ;         ;      ;      ;0.77;0;0;0;053.223358;-27.942776
   80;      ;UNKNOWN  ;UNKNOWN ;         ;      ;27.996;0.21;0;0;0;053.120243;-27.942779
   81;      ;UNKNOWN  ;UNKNOWN ;         ;      ;      ;0.95;0;0;0;053.220055;-27.942642
   82; 0.616;GALAXY   ;VVDS    ;         ;      ;      ;0.03;0;0;0;053.083424;-27.941095
   83;      ;UNKNOWN  ;UNKNOWN ;         ;      ;28.020;0.03;0;0;0;053.089829;-27.942434
   84;      ;UNKNOWN  ;UNKNOWN ;         ;      ;      ;0.95;0;0;0;053.151749;-27.942530
   85; 1.089;EMISSION ;GOODS   ;         ;      ;28.009;0.00;0;0;0;053.127445;-27.942175
   86;      ;UNKNOWN  ;UNKNOWN ;         ;      ;28.012;0.02;0;0;0;053.133629;-27.942022
   87;      ;UNKNOWN  ;UNKNOWN ;         ;      ;28.014;0.70;0;0;0;053.132587;-27.942390
   88;      ;UNKNOWN  ;UNKNOWN ;         ;      ;27.882;0.88;0;0;0;053.084408;-27.942356
   89;      ;UNKNOWN  ;UNKNOWN ;         ;      ;      ;0.94;0;0;0;053.215321;-27.942276
   90;      ;UNKNOWN  ;UNKNOWN ;         ;      ;28.015;0.71;0;0;0;053.100532;-27.942236
   91; 0.942;EMISSION ;GOODS   ;         ;      ;28.014;0.31;0;0;0;053.135914;-27.942089
   92;      ;UNKNOWN  ;UNKNOWN ;         ;      ;      ;0.88;0;0;0;053.093136;-27.942041
   93;      ;UNKNOWN  ;UNKNOWN ;         ;      ;27.888;0.95;0;0;0;053.084515;-27.942032
   94;      ;UNKNOWN  ;UNKNOWN ;         ;      ;27.641;0.02;0;0;0;053.149681;-27.941969
   95;      ;UNKNOWN  ;UNKNOWN ;         ;      ;28.013;0.08;0;0;0;053.102726;-27.941936
   96; 1.102;GALAXY   ;VVDS    ;         ;      ;28.018;0.00;0;0;0;053.106941;-27.941244
   97; 0.067;EMISSION ;GOODS   ;         ;      ;      ;0.02;0;0;0;053.144814;-27.941460
   98;      ;UNKNOWN  ;UNKNOWN ;         ;      ;27.998;0.85;0;0;0;053.120609;-27.941797
   99;      ;UNKNOWN  ;UNKNOWN ;         ;      ;28.012;0.75;0;0;0;053.135547;-27.941786
  100;      ;UNKNOWN  ;UNKNOWN ;         ;      ;28.015;0.02;0;0;0;053.132202;-27.941536
  101;      ;UNKNOWN  ;UNKNOWN ;         ;      ;      ;0.48;0;0;0;053.154201;-27.941715
  102;      ;UNKNOWN  ;UNKNOWN ;         ;      ;      ;0.96;0;0;0;053.221897;-27.941702
  103;      ;UNKNOWN  ;UNKNOWN ;         ;      ;28.009;0.01;0;0;0;053.125431;-27.941549
  104;      ;UNKNOWN  ;UNKNOWN ;         ;      ;27.766;0.02;0;0;0;053.117554;-27.941370
  105;      ;UNKNOWN  ;UNKNOWN ;         ;      ;      ;0.32;0;0;0;053.134281;-27.941439
  106;      ;UNKNOWN  ;UNKNOWN ;         ;      ;28.020;0.96;0;0;0;053.091885;-27.941633
  107;      ;UNKNOWN  ;UNKNOWN ;         ;      ;28.008;0.11;0;0;0;053.125553;-27.941490
  108; 0.000;STAR     ;astro-ph;         ;      ;      ;0.93;0;0;0;053.147453;-27.940458
  109;      ;UNKNOWN  ;UNKNOWN ;         ;      ;28.008;0.33;0;0;0;053.130131;-27.941395
